TRUCK_ID,ALLOWED,PASSED,READING,TOLERANT
4901848,6000,true,580,6750
4901848,10000,true,330,11250
4901849,6000,true,410,6750
4901849,10000,true,290,11250
4901850,6000,true,3900,6750
4901850,10000,true,4900,11250
4901850,17000,true,6100,19125
4901851,6000,true,520,6750
4901851,10000,true,380,11250
4901853,6000,true,1020,6750
4901853,10000,true,890,11250
4901855,6000,true,620,6750
4901855,10000,true,330,11250
4901856,6000,true,840,6750
4901856,10000,true,540,11250
4901857,6000,true,660,6750
4901857,10000,true,350,11250
4901858,6000,true,670,6750
4901858,10000,true,370,11250
4901860,6000,true,580,6750
4901860,10000,true,360,11250
4901861,6000,true,620,6750
4901861,10000,true,380,11250
4901862,6000,true,4600,6750
4901862,17000,true,14500,19125
4901862,25000,true,24800,28125
4901863,6000,true,980,6750
4901863,10000,true,340,11250
4901865,6000,true,3300,6750
4901865,10000,true,2800,11250
4901865,10000,true,4600,11250
4901866,6000,true,650,6750
4901866,10000,true,590,11250
4901867,6000,true,2100,6750
4901867,10000,true,3700,11250
4901868,6000,true,410,6750
4901868,10000,true,260,11250
4901869,6000,true,1170,6750
4901869,10000,true,1100,11250
4901870,6000,true,2300,6750
4901870,10000,true,3600,11250
4901871,6000,true,660,6750
4901871,10000,true,320,11250
4901873,6000,true,600,6750
4901873,10000,true,430,11250
4901874,6000,true,1050,6750
4901874,10000,true,910,11250
4901875,6000,true,970,6750
4901875,10000,true,610,11250
4901876,6000,true,1050,6750
4901876,10000,true,750,11250
4901877,6000,true,4100,6750
4901877,17000,true,9200,19125
4901878,6000,true,2400,6750
4901878,17000,true,5100,19125
4901879,6000,true,710,6750
4901879,10000,true,540,11250
4901880,6000,true,420,6750
4901880,10000,true,440,11250
4901881,6000,true,600,6750
4901881,10000,true,470,11250
4901882,6000,true,2400,6750
4901882,17000,true,9000,19125
4901883,6000,true,570,6750
4901883,10000,true,300,11250
4901884,6000,true,710,6750
4901884,10000,true,500,11250
4901885,6000,true,610,6750
4901885,10000,true,530,11250
4901887,6000,true,520,6750
4901887,10000,true,380,11250
4901888,6000,true,1470,6750
4901888,10000,true,1110,11250
4901889,6000,true,480,6750
4901889,10000,true,280,11250
4901890,6000,true,780,6750
4901890,10000,true,410,11250
4901891,6000,true,920,6750
4901891,10000,true,1240,11250
4901893,6000,true,410,6750
4901893,10000,true,280,11250
4901894,6000,true,800,6750
4901894,10000,true,470,11250
4901895,6000,true,330,6750
4901895,10000,true,450,11250
4901896,6000,true,1080,6750
